Contig,PostFC,FDR
c121746_g1_i1,36.94127234,0
c12373_g1_i1,3.137106098,0
c12728_g1_i1,0.630954986,0
c136647_g1_i1,0.142451449,0
c14497_g1_i1,0.614295201,0
c14505_g1_i1,0.762303329,0
c1470_g1_i1,0.771703247,0
c15416_g1_i1,0.146401072,0
c16728_g1_i1,0.809205224,0
c17106_g1_i1,19.08956578,0
c17395_g1_i1,0.304593627,0
c17585_g1_i1,0.103477492,0
c1819_g1_i1,0.891734836,0
c18204_g1_i1,0.791649216,0
c18256_g1_i2,0.130706704,0
c1869_g1_i1,0.89780314,0
c27686_g1_i1,0.014902208,0
c2827_g1_i1,272.8192113,0
c2827_g1_i2,0.466149328,0
c28548_g1_i1,0.663763553,0
c28890_g1_i2,0.000514144,0
c30244_g1_i1,155.8064745,0
c32822_g1_i1,6.392703741,0
c33027_g1_i1,3.220275801,0
c34015_g1_i1,0.705306373,0
c35551_g1_i1,0.733484201,0
c35572_g1_i3,0.229362102,0
c36011_g2_i1,0.708856639,0
c36837_g1_i1,0.645384936,0
c36978_g1_i2,0.374392645,0
c38289_g2_i1,0.645910632,0
c38312_g1_i1,0.845879134,0
c38716_g1_i1,0.737589486,0
c39615_g1_i1,0.6238566,0
c39767_g1_i2,0.000483467,0
c39942_g1_i1,0.010977692,0
c39993_g1_i1,355.8354252,0
c39996_g1_i2,0.790697867,0
c40131_g1_i1,0.459275713,0
c40805_g1_i1,0.246212073,0
c40805_g1_i2,139.4910284,0
c40851_g1_i1,0.223838879,0
c41142_g1_i1,0.819846749,0
c41210_g1_i1,0.273269188,0
c41214_g1_i1,0.748747224,0
c41415_g1_i1,0.649870447,0
c41440_g1_i1,0.265254709,0
c41440_g1_i3,0.008332309,0
c41458_g1_i1,0.736598473,0
c41472_g1_i1,0.550219416,0
c41535_g1_i1,2.096253588,0
c41665_g1_i2,0.019704518,0
c41907_g1_i1,0.391087865,0
c41943_g1_i1,5318.649642,0
c41977_g1_i1,0.018460794,0
c44308_g1_i1,0.39213593,0
c44930_g1_i1,4.004386801,0
c45146_g1_i2,158.0813475,0
c45648_g1_i1,2.422971109,0
c47008_g1_i2,0.002938116,0
c47130_g1_i1,0.246192649,0
c47188_g1_i1,8.907786589,0
c47264_g1_i1,0.825201672,0
c4746_g1_i1,0.608779121,0
c47472_g1_i1,47.82606678,0
c47472_g1_i2,0.016652001,0
c47478_g1_i1,0.574149758,0
c47509_g1_i3,60.3214617,0
c48129_g1_i2,0.081828654,0
c48912_g2_i2,0.7010099,0
c49115_g1_i5,0.003813877,0
c49118_g1_i1,727.9558238,0
c49158_g1_i3,0.003128654,0
c49260_g1_i2,0.003323225,0
c49432_g1_i1,7.102685448,0
c49513_g2_i1,2.233986685,0
c49558_g1_i1,2.175529915,0
c50056_g2_i1,0.574326334,0
c50120_g2_i1,0.678149709,0
c50514_g1_i1,86.18806564,0
c50700_g1_i2,0.006049077,0
c50758_g1_i1,161.7538537,0
c50872_g1_i1,4.376272995,0
c51081_g1_i2,106.7554397,0
c51167_g1_i1,0.816490618,0
c51639_g1_i1,0.732102913,0
c51794_g1_i3,0.005589561,0
c52007_g1_i1,213.7960837,0
c52063_g1_i1,0.762618467,0
c52216_g1_i1,0.417310076,0
c52591_g1_i2,0.176152422,0
c52591_g1_i3,0.106605035,0
c52712_g1_i2,0.023013691,0
c52735_g1_i2,62.98757432,0
c52884_g1_i4,0.247999915,0
c52891_g1_i1,0.522281603,0
c52906_g2_i1,0.339687752,0
c52942_g1_i2,0.286210133,0
c52961_g1_i1,0.722326035,0
c53013_g1_i2,0.008029468,0
c53201_g1_i1,0.090480596,0
c53204_g1_i2,0.014344442,0
c53260_g1_i1,0.713977265,0
c53379_g1_i5,0.013705334,0
c53421_g1_i1,0.161394516,0
c53580_g1_i1,3.307577002,0
c53613_g1_i1,1.727035303,0
c53640_g1_i2,3811.416179,0
c53640_g1_i3,0.336689568,0
c53679_g1_i1,140.3558454,0
c54146_g1_i2,0.002865336,0
c54189_g1_i2,0.401563258,0
c54335_g1_i1,0.026984022,0
c54335_g1_i4,0.026186919,0
c54335_g1_i5,0.013350473,0
c54491_g1_i2,0.009065697,0
c54491_g2_i2,0.013585692,0
c54765_g1_i1,0.836974068,0
c54832_g1_i1,430.6014889,0
c54894_g1_i1,0.228261843,0
c54905_g1_i1,0.724524887,0
c54937_g1_i1,0.246510449,0
c54940_g1_i2,0.240941372,0
c55163_g1_i2,0.771056493,0
c55252_g1_i5,0.040108702,0
c55262_g1_i3,2454.556031,0
c55325_g1_i1,6.691087511,0
c55325_g1_i2,0.215786487,0
c55614_g1_i3,0.133631452,0
